pz 7
bT 0
component real
nstates 2
normalization_mode mode3
lattice_spacing_fm 7.6000000000e-02
zstep_fm 1.0000000000e-02
interpolation_kind cubic
x	q_mean	q_err	q_p16	q_p84
3.4000000000e-01	8.1776993242e-01	3.5204034824e-03	8.1424952893e-01	8.2129033590e-01
3.5000000000e-01	8.2114522323e-01	3.4242516210e-03	8.1772097161e-01	8.2456947485e-01
3.6000000000e-01	8.2431144006e-01	3.7630626602e-03	8.2054837740e-01	8.2807450272e-01
3.7000000000e-01	8.2730836157e-01	3.9605767191e-03	8.2334778485e-01	8.3126893829e-01
3.8000000000e-01	8.2996353465e-01	4.2163111536e-03	8.2574722350e-01	8.3417984580e-01
3.9000000000e-01	8.3228300591e-01	4.4582713302e-03	8.2782473458e-01	8.3674127724e-01
4.0000000000e-01	8.3421599896e-01	4.6817853064e-03	8.2953421365e-01	8.3889778426e-01
4.1000000000e-01	8.3596016518e-01	5.0500985642e-03	8.3091006661e-01	8.4101026374e-01
4.2000000000e-01	8.3752347294e-01	5.2989666822e-03	8.3222450626e-01	8.4282243962e-01
4.3000000000e-01	8.3890227799e-01	5.4854936987e-03	8.3341678429e-01	8.4438777169e-01
4.4000000000e-01	8.3993519916e-01	5.7421651514e-03	8.3419303401e-01	8.4567736431e-01
4.5000000000e-01	8.4084483371e-01	5.8830923638e-03	8.3496174134e-01	8.4672792607e-01
4.6000000000e-01	8.4159548706e-01	5.9897706502e-03	8.3560571641e-01	8.4758525771e-01
4.7000000000e-01	8.4214928607e-01	6.1083474961e-03	8.3604093857e-01	8.4825763356e-01
4.8000000000e-01	8.4249729620e-01	6.2629037802e-03	8.3623439242e-01	8.4876019998e-01
4.9000000000e-01	8.4272681852e-01	6.3748255937e-03	8.3635199292e-01	8.4910164411e-01
5.0000000000e-01	8.4279912906e-01	6.4063851278e-03	8.3639274393e-01	8.4920551418e-01
5.1000000000e-01	8.4272681852e-01	6.3748255937e-03	8.3635199292e-01	8.4910164411e-01
5.2000000000e-01	8.4249729620e-01	6.2629037802e-03	8.3623439242e-01	8.4876019998e-01
5.3000000000e-01	8.4214928607e-01	6.1083474961e-03	8.3604093857e-01	8.4825763356e-01
5.4000000000e-01	8.4159548706e-01	5.9897706502e-03	8.3560571641e-01	8.4758525771e-01
5.5000000000e-01	8.4084483371e-01	5.8830923638e-03	8.3496174134e-01	8.4672792607e-01
5.6000000000e-01	8.3993519916e-01	5.7421651514e-03	8.3419303401e-01	8.4567736431e-01
5.7000000000e-01	8.3890227799e-01	5.4854936987e-03	8.3341678429e-01	8.4438777169e-01
5.8000000000e-01	8.3752347294e-01	5.2989666822e-03	8.3222450626e-01	8.4282243962e-01
5.9000000000e-01	8.3596016518e-01	5.0500985642e-03	8.3091006661e-01	8.4101026374e-01
6.0000000000e-01	8.3421599896e-01	4.6817853064e-03	8.2953421365e-01	8.3889778426e-01
6.1000000000e-01	8.3228300591e-01	4.4582713302e-03	8.2782473458e-01	8.3674127724e-01
6.2000000000e-01	8.2996353465e-01	4.2163111536e-03	8.2574722350e-01	8.3417984580e-01
6.3000000000e-01	8.2730836157e-01	3.9605767191e-03	8.2334778485e-01	8.3126893829e-01
6.4000000000e-01	8.2431144006e-01	3.7630626602e-03	8.2054837740e-01	8.2807450272e-01
6.5000000000e-01	8.2114522323e-01	3.4242516210e-03	8.1772097161e-01	8.2456947485e-01
6.6000000000e-01	8.1776993242e-01	3.5204034824e-03	8.1424952893e-01	8.2129033590e-01
6.7000000000e-01	8.1368128655e-01	3.4436209545e-03	8.1023766559e-01	8.1712490750e-01
6.8000000000e-01	8.0954964518e-01	3.4260302220e-03	8.0612361496e-01	8.1297567541e-01
6.9000000000e-01	8.0498332065e-01	3.4182871723e-03	8.0156503348e-01	8.0840160782e-01
7.0000000000e-01	7.9984743490e-01	3.3927478952e-03	7.9645468700e-01	8.0324018279e-01
7.1000000000e-01	7.9435880038e-01	3.2248682431e-03	7.9113393214e-01	7.9758366863e-01
7.2000000000e-01	7.8859037381e-01	3.4445250070e-03	7.8514584880e-01	7.9203489881e-01
7.3000000000e-01	7.8213228056e-01	3.4448829192e-03	7.7868739764e-01	7.8557716348e-01
7.4000000000e-01	7.7541281811e-01	3.5337995932e-03	7.7187901852e-01	7.7894661770e-01
7.5000000000e-01	7.6812429032e-01	3.8011897600e-03	7.6432310056e-01	7.7192548008e-01
7.6000000000e-01	7.6050783399e-01	3.9378175995e-03	7.5657001639e-01	7.6444565159e-01
7.7000000000e-01	7.5230571112e-01	4.0436277552e-03	7.4826208336e-01	7.5634933887e-01
7.8000000000e-01	7.4366123546e-01	4.2441386353e-03	7.3941709682e-01	7.4790537409e-01
7.9000000000e-01	7.3464916337e-01	4.1526061333e-03	7.3049655723e-01	7.3880176950e-01
8.0000000000e-01	7.2508877596e-01	4.2264697680e-03	7.2086230619e-01	7.2931524573e-01
8.1000000000e-01	7.1522468620e-01	4.2399775002e-03	7.1098470870e-01	7.1946466370e-01
8.2000000000e-01	7.0475337401e-01	4.2172180277e-03	7.0053615598e-01	7.0897059204e-01
8.3000000000e-01	6.9377922797e-01	4.0940454103e-03	6.8968518256e-01	6.9787327338e-01
8.4000000000e-01	6.8246449046e-01	3.9698703039e-03	6.7849462015e-01	6.8643436076e-01
8.5000000000e-01	6.7067002254e-01	3.7123511141e-03	6.6695767142e-01	6.7438237365e-01
8.6000000000e-01	6.5851998501e-01	3.6008254504e-03	6.5491915956e-01	6.6212081046e-01
8.7000000000e-01	6.4594055778e-01	3.4208047136e-03	6.4251975307e-01	6.4936136249e-01
8.8000000000e-01	6.3305951198e-01	3.4073407994e-03	6.2965217118e-01	6.3646685278e-01
8.9000000000e-01	6.1992952642e-01	3.2757356120e-03	6.1665379081e-01	6.2320526203e-01
9.0000000000e-01	6.0642068411e-01	3.2235133100e-03	6.0319717080e-01	6.0964419742e-01
9.1000000000e-01	5.9270664780e-01	3.1143972810e-03	5.8959225052e-01	5.9582104508e-01
9.2000000000e-01	5.7886866489e-01	3.0442928741e-03	5.7582437202e-01	5.8191295777e-01
9.3000000000e-01	5.6454863293e-01	3.1439809533e-03	5.6140465198e-01	5.6769261389e-01
9.4000000000e-01	5.5022112878e-01	3.1276181691e-03	5.4709351061e-01	5.5334874695e-01
9.5000000000e-01	5.3586483975e-01	3.0731353056e-03	5.3279170444e-01	5.3893797505e-01
9.6000000000e-01	5.2137364810e-01	3.1423122249e-03	5.1823133588e-01	5.2451596033e-01
9.7000000000e-01	5.0674823305e-01	3.1566253853e-03	5.0359160766e-01	5.0990485843e-01
9.8000000000e-01	4.9207432956e-01	3.2572162948e-03	4.8881711327e-01	4.9533154585e-01
9.9000000000e-01	4.7756599698e-01	3.3040029002e-03	4.7426199408e-01	4.8086999988e-01
1.0000000000e+00	4.6292392965e-01	3.3110119273e-03	4.5961291772e-01	4.6623494158e-01
1.0100000000e+00	4.4832016648e-01	3.3254666668e-03	4.4499469981e-01	4.5164563314e-01
1.0200000000e+00	4.3382425614e-01	3.4100691271e-03	4.3041418701e-01	4.3723432526e-01
1.0300000000e+00	4.1953554788e-01	3.4024753720e-03	4.1613307251e-01	4.2293802326e-01
1.0400000000e+00	4.0536446905e-01	3.3408318623e-03	4.0202363719e-01	4.0870530091e-01
1.0500000000e+00	3.9135181682e-01	3.3544653923e-03	3.8799735143e-01	3.9470628221e-01
1.0600000000e+00	3.7769477402e-01	3.3369670272e-03	3.7435780699e-01	3.8103174104e-01
1.0700000000e+00	3.6411959924e-01	3.2169451020e-03	3.6090265414e-01	3.6733654434e-01
1.0800000000e+00	3.5085194377e-01	3.2037781614e-03	3.4764816561e-01	3.5405572193e-01
1.0900000000e+00	3.3783348694e-01	3.1603004396e-03	3.3467318650e-01	3.4099378738e-01
1.1000000000e+00	3.2504372435e-01	3.2106588883e-03	3.2183306546e-01	3.2825438324e-01
1.1100000000e+00	3.1258605844e-01	3.2949067268e-03	3.0929115171e-01	3.1588096516e-01
1.1200000000e+00	3.0041138967e-01	3.1620742660e-03	2.9724931540e-01	3.0357346394e-01
1.1300000000e+00	2.8845166519e-01	3.1351567015e-03	2.8531650849e-01	2.9158682189e-01
1.1400000000e+00	2.7683652117e-01	3.1661047385e-03	2.7367041643e-01	2.8000262590e-01
1.1500000000e+00	2.6568563193e-01	3.2582189658e-03	2.6242741296e-01	2.6894385090e-01
1.1600000000e+00	2.5478948930e-01	3.1877326736e-03	2.5160175663e-01	2.5797722197e-01
1.1700000000e+00	2.4444934024e-01	3.2348739595e-03	2.4121446628e-01	2.4768421420e-01
1.1800000000e+00	2.3438845731e-01	3.1447458080e-03	2.3124371150e-01	2.3753320311e-01
1.1900000000e+00	2.2471061680e-01	2.9863727894e-03	2.2172424401e-01	2.2769698959e-01
1.2000000000e+00	2.1539806914e-01	2.9042283740e-03	2.1249384077e-01	2.1830229752e-01
1.2100000000e+00	2.0638949090e-01	2.7634600337e-03	2.0362603087e-01	2.0915295094e-01
1.2200000000e+00	1.9784696719e-01	2.8113894902e-03	1.9503557770e-01	2.0065835668e-01
1.2300000000e+00	1.8960096989e-01	2.6832138917e-03	1.8691775600e-01	1.9228418378e-01
1.2400000000e+00	1.8163873832e-01	2.6148752200e-03	1.7902386310e-01	1.8425361354e-01
1.2500000000e+00	1.7405700217e-01	2.6022182286e-03	1.7145478394e-01	1.7665922040e-01
1.2600000000e+00	1.6671593111e-01	2.6198998828e-03	1.6409603123e-01	1.6933583099e-01
1.2700000000e+00	1.5986003904e-01	2.5103395649e-03	1.5734969947e-01	1.6237037860e-01
1.2800000000e+00	1.5334039021e-01	2.4540467125e-03	1.5088634350e-01	1.5579443693e-01
1.2900000000e+00	1.4714219624e-01	2.4103627544e-03	1.4473183348e-01	1.4955255899e-01
1.3000000000e+00	1.4119957439e-01	2.3296855415e-03	1.3886988885e-01	1.4352925993e-01
1.3100000000e+00	1.3552503899e-01	2.2740587619e-03	1.3325098023e-01	1.3779909775e-01
1.3200000000e+00	1.3007816357e-01	2.1788804351e-03	1.2789928314e-01	1.3225704401e-01
1.3300000000e+00	1.2493671509e-01	2.1032156572e-03	1.2283349943e-01	1.2703993074e-01
1.3400000000e+00	1.2002638770e-01	2.0476170899e-03	1.1797877061e-01	1.2207400479e-01
1.3500000000e+00	1.1535083211e-01	1.9349029482e-03	1.1341592916e-01	1.1728573506e-01
1.3600000000e+00	1.1104340655e-01	1.8708428420e-03	1.0917256370e-01	1.1291424939e-01
1.3700000000e+00	1.0691390291e-01	1.8547515863e-03	1.0505915133e-01	1.0876865450e-01
1.3800000000e+00	1.0294752340e-01	1.7420493933e-03	1.0120547400e-01	1.0468957279e-01
1.3900000000e+00	9.9211385607e-02	1.6638475809e-03	9.7547538026e-02	1.0087523319e-01
1.4000000000e+00	9.5619976165e-02	1.5593358211e-03	9.4060640344e-02	9.7179311986e-02
1.4100000000e+00	9.2280916065e-02	1.4861233834e-03	9.0794792681e-02	9.3767039448e-02
1.4200000000e+00	8.9147303363e-02	1.5338725989e-03	8.7613430764e-02	9.0681175962e-02
1.4300000000e+00	8.6124037998e-02	1.5734840187e-03	8.4550553980e-02	8.7697522017e-02
1.4400000000e+00	8.3218184405e-02	1.5054899434e-03	8.1712694462e-02	8.4723674349e-02
1.4500000000e+00	8.0445449146e-02	1.4701774769e-03	7.8975271669e-02	8.1915626623e-02
1.4600000000e+00	7.7821309575e-02	1.4659588851e-03	7.6355350690e-02	7.9287268460e-02
1.4700000000e+00	7.5246200352e-02	1.4603719678e-03	7.3785828384e-02	7.6706572320e-02
1.4800000000e+00	7.2844724461e-02	1.4331299826e-03	7.1411594479e-02	7.4277854444e-02
1.4900000000e+00	7.0602395194e-02	1.4721137346e-03	6.9130281459e-02	7.2074508929e-02
1.5000000000e+00	6.8406917815e-02	1.4405618283e-03	6.6966355987e-02	6.9847479643e-02
