normalization_mode mode3
title l64c64a076_m140_fit_pz1
gm T5
eta eta0
pz 1
bT 0
component real
nstates 2
normalization_sample_domain complex
input_fit_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz1/tables/l64c64a076_m140_fit_pz1_T5_eta0_bT0_real_2state_fit.txt
input_sample_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz1/samples/l64c64a076_m140_fit_pz1_T5_eta0_bT0_real_2state_samples.txt
reference_same_pz_bT0_bz0 l64c64a076_m140_fit_pz1 T5 eta0 pz=1 bT=0 bz=0
reference_pz0_same_bT_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
bz	sample_id	success	m0
0	175	1	1.0000000000e+00
0	176	1	1.0000000000e+00
0	177	1	1.0000000000e+00
0	178	1	1.0000000000e+00
0	179	1	1.0000000000e+00
0	180	1	1.0000000000e+00
0	181	1	1.0000000000e+00
0	182	1	1.0000000000e+00
0	183	1	1.0000000000e+00
0	184	1	1.0000000000e+00
0	185	1	1.0000000000e+00
0	186	1	1.0000000000e+00
0	187	1	1.0000000000e+00
0	188	1	1.0000000000e+00
0	189	1	1.0000000000e+00
0	190	1	1.0000000000e+00
0	191	1	1.0000000000e+00
0	192	1	1.0000000000e+00
0	193	1	1.0000000000e+00
0	194	1	1.0000000000e+00
0	195	1	1.0000000000e+00
0	196	1	1.0000000000e+00
0	197	1	1.0000000000e+00
0	198	1	1.0000000000e+00
0	199	1	1.0000000000e+00
1	0	1	9.4591635947e-01
1	1	1	9.4606405038e-01
1	2	1	9.4590239706e-01
1	3	1	9.4600256599e-01
1	4	1	9.4599454148e-01
1	5	1	9.4602437583e-01
1	6	1	9.4606660442e-01
1	7	1	9.4605364436e-01
1	8	1	9.4606365853e-01
1	9	1	9.4610694079e-01
1	10	1	9.4604837817e-01
1	11	1	9.4600324965e-01
1	12	1	9.4595394732e-01
1	13	1	9.4604047572e-01
1	14	1	9.4598407510e-01
1	15	1	9.4603972858e-01
1	16	1	9.4603051056e-01
1	17	1	9.4605738150e-01
1	18	1	9.4598933209e-01
1	19	1	9.4601294727e-01
1	20	1	9.4599614499e-01
1	21	1	9.4600486395e-01
1	22	1	9.4602191670e-01
1	23	1	9.4596859582e-01
1	24	1	9.4605488803e-01
1	25	1	9.4599758548e-01
1	26	1	9.4592086341e-01
1	27	1	9.4594481600e-01
1	28	1	9.4609321755e-01
1	29	1	9.4599123402e-01
1	30	1	9.4605170302e-01
1	31	1	9.4600215843e-01
1	32	1	9.4607195968e-01
1	33	1	9.4605443374e-01
1	34	1	9.4607789614e-01
1	35	1	9.4616703478e-01
1	36	1	9.4598827122e-01
1	37	1	9.4591698600e-01
1	38	1	9.4607043520e-01
1	39	1	9.4603661183e-01
1	40	1	9.4607144112e-01
1	41	1	9.4606027955e-01
1	42	1	9.4596666584e-01
1	43	1	9.4604469456e-01
1	44	1	9.4605897372e-01
1	45	1	9.4606092734e-01
1	46	1	9.4607056825e-01
1	47	1	9.4603189576e-01
1	48	1	9.4597187776e-01
1	49	1	9.4601826150e-01
1	50	1	9.4603457832e-01
1	51	1	9.4600456632e-01
1	52	1	9.4590342464e-01
1	53	1	9.4607754439e-01
1	54	1	9.4608048579e-01
1	55	1	9.4605935936e-01
1	56	1	9.4596630966e-01
1	57	1	9.4608611907e-01
1	58	1	9.4606834915e-01
1	59	1	9.4603636807e-01
1	60	1	9.4598692281e-01
1	61	1	9.4597031408e-01
1	62	1	9.4600425906e-01
1	63	1	9.4597002164e-01
1	64	1	9.4600225642e-01
1	65	1	9.4616703550e-01
1	66	1	9.4602636989e-01
1	67	1	9.4603196022e-01
1	68	1	9.4603378836e-01
1	69	1	9.4604706552e-01
1	70	1	9.4599031591e-01
1	71	1	9.4605735329e-01
1	72	1	9.4596714211e-01
1	73	1	9.4606816561e-01
1	74	1	9.4599962904e-01
1	75	1	9.4597377606e-01
1	76	1	9.4600826494e-01
